Sample ID	Tissue	Age	Sex
GTEX-1117F-0003-SM-58Q7G	Whole Blood	60-69	F
GTEX-1117F-0003-SM-5DWSB	Whole Blood	60-69	F
GTEX-1117F-0226-SM-5GZZ7	Adipose - Subcutaneous	60-69	F
GTEX-1117F-0426-SM-5EGHI	Muscle - Skeletal	60-69	F
GTEX-1117F-0526-SM-5EGHJ	Artery - Tibial	60-69	F
GTEX-1117F-0626-SM-5N9CS	Artery - Coronary	60-69	F
GTEX-1117F-0726-SM-5GIEN	Heart - Atrial Appendage	60-69	F
GTEX-1117F-1326-SM-5EGHH	Adipose - Visceral (Omentum)	60-69	F
GTEX-1117F-2226-SM-5N9CH	Ovary	60-69	F
GTEX-1117F-2426-SM-5EGGH	Uterus	60-69	F
GTEX-1117F-2526-SM-5GZY6	Vagina	60-69	F
GTEX-1117F-2826-SM-5GZXL	Breast - Mammary Tissue	60-69	F
GTEX-1117F-2926-SM-5GZYI	Skin - Not Sun Exposed (Suprapubic)	60-69	F
GTEX-1117F-3026-SM-5GZYU	Minor Salivary Gland	60-69	F
GTEX-1117F-3226-SM-5N9CT	Brain - Cortex	60-69	F
GTEX-111CU-0003-SM-58Q95	Whole Blood	50-59	M
GTEX-111CU-0003-SM-5DWTR	Whole Blood	50-59	M
GTEX-111CU-0126-SM-5GZWZ	Adrenal Gland	50-59	M
GTEX-111CU-0226-SM-5GZXC	Thyroid	50-59	M
GTEX-111CU-0326-SM-5GZXO	Lung	50-59	M
GTEX-111CU-0426-SM-5GZY1	Spleen	50-59	M
GTEX-111CU-0526-SM-5EGHK	Pancreas	50-59	M
GTEX-111CU-0626-SM-5EGHL	Esophagus - Muscularis	50-59	M
GTEX-111CU-0726-SM-5GZYD	Esophagus - Mucosa	50-59	M
GTEX-111CU-0826-SM-5EGIJ	Esophagus - Gastroesophageal Junction	50-59	M
GTEX-111CU-0926-SM-5EGIK	Stomach	50-59	M
GTEX-111CU-1026-SM-5EGIL	Adipose - Visceral (Omentum)	50-59	M
