	Confirmed	Tentative	RMSE Conf	RSq Conf	RMSE Tent	RSq Tent
Adipose-Subcutaneous	ENSG00000162591.11, ENSG00000069424.10, ENSG00000011007.8, ENSG00000174827.9, ENSG00000163564.10, ENSG00000117507.4, ENSG00000198380.8, ENSG00000144043.7, ENSG00000230596.2, ENSG00000123612.11, ENSG00000169047.5, ENSG00000008300.10, ENSG00000172667.6, ENSG00000164188.4, ENSG00000083720.8, ENSG00000204764.8, ENSG00000112319.13, ENSG00000189077.6, ENSG00000135272.5, ENSG00000259920.1, ENSG00000244560.2, ENSG00000255310.2, ENSG00000147889.12, ENSG00000095383.15, ENSG00000070159.9, ENSG00000225137.1, ENSG00000134574.7, ENSG00000150687.7, ENSG00000167286.5, ENSG00000110002.11, ENSG00000269892.1, ENSG00000139197.6, ENSG00000048540.10, ENSG00000259884.1, ENSG00000182782.7, ENSG00000100678.14, ENSG00000140511.7, ENSG00000077238.9, ENSG00000108953.12, ENSG00000172057.5, ENSG00000270587.1, ENSG00000268573.1, ENSG00000105711.6, ENSG00000142046.10, ENSG00000174951.6, ENSG00000053438.7, ENSG00000215270.3, ENSG00000131080.10, ENSG00000166707.6, ENSG00000184258.5	ENSG00000271427.1, ENSG00000174145.7, ENSG00000089692.4, ENSG00000139329.4, ENSG00000108788.7, ENSG00000157502.8	10.1297326093576	0.305814928783808	10.3752730339767	0.271753551706364
Adipose-Visceral(Omentum)	ENSG00000164007.6, ENSG00000115935.12, ENSG00000171551.7, ENSG00000082781.7, ENSG00000244405.3, ENSG00000145214.9, ENSG00000250337.1, ENSG00000261604.1, ENSG00000037749.7, ENSG00000244694.3, ENSG00000079950.9, ENSG00000173452.9, ENSG00000186704.8, ENSG00000106299.7, ENSG00000157212.14, ENSG00000104660.13, ENSG00000104671.3, ENSG00000164929.12, ENSG00000232630.1, ENSG00000225383.2, ENSG00000244953.1, ENSG00000110514.14, ENSG00000260401.1, ENSG00000017797.7, ENSG00000182087.8, ENSG00000131115.11, ENSG00000155313.11, ENSG00000184113.8, ENSG00000221890.2, ENSG00000184634.11, ENSG00000102385.8, ENSG00000203950.6	ENSG00000134049.3, ENSG00000102125.11	10.7920029710083	0.0661401140267177	10.9180715174784	0.0441946045673409
Artery-Aorta	ENSG00000236155.2, ENSG00000137968.12, ENSG00000143061.13, ENSG00000116128.5, ENSG00000143318.8, ENSG00000162738.5, ENSG00000152092.11, ENSG00000196352.9, ENSG00000162981.12, ENSG00000115616.2, ENSG00000168280.12, ENSG00000136542.4, ENSG00000153253.11, ENSG00000222033.1, ENSG00000115457.5, ENSG00000171951.4, ENSG00000135916.11, ENSG00000157985.13, ENSG00000261786.1, ENSG00000114302.11, ENSG00000185008.13, ENSG00000184500.10, ENSG00000144810.11, ENSG00000065534.14, ENSG00000172667.6, ENSG00000187068.2, ENSG00000145014.13, ENSG00000178163.3, ENSG00000109158.6, ENSG00000260918.1, ENSG00000250241.1, ENSG00000109738.6, ENSG00000145794.12, ENSG00000066583.7, ENSG00000176049.11, ENSG00000164265.4, ENSG00000228223.1, ENSG00000244694.3, ENSG00000123500.5, ENSG00000186340.10, ENSG00000105877.13, ENSG00000106536.15, ENSG00000186472.15, ENSG00000170381.8, ENSG00000008277.10, ENSG00000166448.10, ENSG00000159784.13, ENSG00000127399.10, ENSG00000168546.6, ENSG00000046889.14, ENSG00000148411.3, ENSG00000197321.10, ENSG00000204175.4, ENSG00000165868.8, ENSG00000244242.1, ENSG00000117984.8, ENSG00000149043.12, ENSG00000006611.11, ENSG00000166025.13, ENSG00000223953.3, ENSG00000135480.10, ENSG00000153179.7, ENSG00000072041.12, ENSG00000151948.7, ENSG00000071246.6, ENSG00000258987.1, ENSG00000198838.7, ENSG00000151575.10, ENSG00000185088.8, ENSG00000140600.12, ENSG00000102996.4, ENSG00000167693.12, ENSG00000065320.4, ENSG00000179277.9, ENSG00000154760.9, ENSG00000186868.11, ENSG00000108387.10, ENSG00000136485.10, ENSG00000141469.12, ENSG00000125648.10, ENSG00000197256.6, ENSG00000132000.7, ENSG00000072071.12, ENSG00000131941.3, ENSG00000128011.4, ENSG00000160007.13, ENSG00000171873.6, ENSG00000124191.13, ENSG00000099958.10, ENSG00000183579.11, ENSG00000183741.7, ENSG00000173698.13	ENSG00000143126.7, ENSG00000143502.10, ENSG00000226065.1, ENSG00000164091.7, ENSG00000168779.15, ENSG00000145248.6, ENSG00000237512.2, ENSG00000173156.2, ENSG00000185633.6, ENSG00000128731.11, ENSG00000035664.7, ENSG00000141564.9, ENSG00000149639.10, ENSG00000069535.12, ENSG00000184258.5	7.80466197013808	0.613071342103842	7.66137897880511	0.627147900829921
Artery-Coronary	ENSG00000116285.8, ENSG00000123080.6, ENSG00000162604.8, ENSG00000198160.10, ENSG00000196427.9, ENSG00000116266.6, ENSG00000116128.5, ENSG00000143387.8, ENSG00000086619.9, ENSG00000213639.5, ENSG00000162961.9, ENSG00000115866.6, ENSG00000185909.10, ENSG00000175105.5, ENSG00000109158.6, ENSG00000145780.6, ENSG00000244694.3, ENSG00000120910.10, ENSG00000156467.5, ENSG00000156831.3, ENSG00000172785.14, ENSG00000198963.6, ENSG00000165669.9, ENSG00000166025.13, ENSG00000134533.2, ENSG00000048540.10, ENSG00000111011.13, ENSG00000150991.10, ENSG00000259935.1, ENSG00000185088.8, ENSG00000261336.1, ENSG00000214176.5, ENSG00000131080.10, ENSG00000230629.2	ENSG00000226833.1, ENSG00000237125.4, ENSG00000164188.4, ENSG00000159086.10	11.6116686116923	-0.0352491396480329	12.1329593893234	-0.130287957178832
Bladder	NA	NA	NA	NA	NA	NA
Artery-Tibial	ENSG00000223764.2, ENSG00000187634.6, ENSG00000228526.2, ENSG00000050628.16, ENSG00000181656.6, ENSG00000085465.11, ENSG00000198837.5, ENSG00000163462.13, ENSG00000163564.10, ENSG00000117477.8, ENSG00000143847.11, ENSG00000082482.9, ENSG00000163013.7, ENSG00000132313.10, ENSG00000121966.6, ENSG00000153253.11, ENSG00000115339.9, ENSG00000085978.17, ENSG00000214021.11, ENSG00000185008.13, ENSG00000080224.13, ENSG00000261292.1, ENSG00000183783.6, ENSG00000109158.6, ENSG00000163288.9, ENSG00000260918.1, ENSG00000145242.9, ENSG00000152208.7, ENSG00000168772.9, ENSG00000250241.1, ENSG00000138650.7, ENSG00000196104.6, ENSG00000134363.7, ENSG00000214944.5, ENSG00000197948.6, ENSG00000155511.13, ENSG00000226979.4, ENSG00000124813.16, ENSG00000244694.3, ENSG00000112320.7, ENSG00000112319.13, ENSG00000170381.8, ENSG00000081803.11, ENSG00000128607.9, ENSG00000105894.7, ENSG00000213199.3, ENSG00000046889.14, ENSG00000165084.11, ENSG00000148219.12, ENSG00000167094.11, ENSG00000187164.13, ENSG00000254910.1, ENSG00000177106.10, ENSG00000110719.5, ENSG00000048540.10, ENSG00000139626.11, ENSG00000185633.6, ENSG00000184226.10, ENSG00000258655.1, ENSG00000100605.12, ENSG00000126215.9, ENSG00000035664.7, ENSG00000140511.7, ENSG00000262246.1, ENSG00000102901.8, ENSG00000226145.3, ENSG00000161570.4, ENSG00000006025.7, ENSG00000108813.9, ENSG00000184551.4, ENSG00000176890.11, ENSG00000101746.11, ENSG00000152229.14, ENSG00000064547.9, ENSG00000130751.5, ENSG00000131067.12, ENSG00000160233.6, ENSG00000269430.1, ENSG00000099958.10, ENSG00000100014.15, ENSG00000182841.8, ENSG00000131080.10, ENSG00000102290.17, ENSG00000184905.4, ENSG00000204071.5, ENSG00000147231.9, ENSG00000174460.3, ENSG00000183918.10, ENSG00000009694.9, ENSG00000101977.15, ENSG00000183479.8, ENSG00000213397.6, ENSG00000067842.13	ENSG00000163071.6, ENSG00000113319.7, ENSG00000249476.1, ENSG00000048052.17, ENSG00000120889.8, ENSG00000129493.10, ENSG00000166847.5, ENSG00000237172.3, ENSG00000064195.7, ENSG00000198547.4, ENSG00000100298.11	8.26018201717074	0.563801207905392	8.2053080007426	0.569577466568817
Brain-Amygdala	ENSG00000173369.11, ENSG00000020633.14, ENSG00000134717.13, ENSG00000162642.9, ENSG00000186141.4, ENSG00000163191.5, ENSG00000163798.9, ENSG00000185414.15, ENSG00000241962.5, ENSG00000114737.11, ENSG00000180353.6, ENSG00000114098.13, ENSG00000163281.7, ENSG00000153130.13, ENSG00000113456.14, ENSG00000145743.11, ENSG00000013392.6, ENSG00000168438.10, ENSG00000009844.11, ENSG00000261795.1, ENSG00000106524.4, ENSG00000105819.9, ENSG00000198839.5, ENSG00000133606.6, ENSG00000258227.2, ENSG00000164683.12, ENSG00000119965.8, ENSG00000151650.7, ENSG00000110768.7, ENSG00000149212.6, ENSG00000151062.10, ENSG00000111679.12, ENSG00000151135.5, ENSG00000133997.7, ENSG00000166145.10, ENSG00000103769.5, ENSG00000182831.7, ENSG00000166847.5, ENSG00000260075.1, ENSG00000206418.3, ENSG00000101558.9, ENSG00000268913.1, ENSG00000187474.4, ENSG00000083750.8	ENSG00000028137.12, ENSG00000134986.9, ENSG00000156475.14, ENSG00000204472.8, ENSG00000129450.4	13.5438088600157	-0.361864115665964	13.6238365622924	-0.378005638049498
Brain-Anteriorcingulatecortex(BA24)	ENSG00000116983.8, ENSG00000180353.6, ENSG00000163694.10, ENSG00000164323.8, ENSG00000178233.13, ENSG00000077809.8, ENSG00000135245.9, ENSG00000270157.1, ENSG00000136866.9, ENSG00000213185.2, ENSG00000137492.3, ENSG00000134627.7, ENSG00000132965.5, ENSG00000253309.2, ENSG00000253096.1, ENSG00000187193.8, ENSG00000184939.11, ENSG00000105246.5, ENSG00000105281.8, ENSG00000233578.1, ENSG00000101898.5, ENSG00000100104.8, ENSG00000155659.10	ENSG00000231940.1, ENSG00000149781.8, ENSG00000175344.12	12.2246889967165	-0.115376483761189	12.7978411419266	-0.22241670264901
Brain-Caudate(basalganglia)	ENSG00000162598.9, ENSG00000132854.14, ENSG00000115107.15, ENSG00000232742.2, ENSG00000163637.7, ENSG00000121858.6, ENSG00000137198.5, ENSG00000164761.4, ENSG00000231808.1, ENSG00000119487.12, ENSG00000156076.5, ENSG00000225083.1, ENSG00000169385.2, ENSG00000179593.11, ENSG00000214447.3, ENSG00000131095.7, ENSG00000060069.12, ENSG00000132000.7, ENSG00000167384.6, ENSG00000087076.4, ENSG00000102174.7, ENSG00000131080.10, ENSG00000213740.2	ENSG00000184160.6, ENSG00000155926.9, ENSG00000133321.6, ENSG00000101230.5	11.6827740116284	-0.352092384887383	11.4804094020811	-0.305657195146794
Brain-CerebellarHemisphere	ENSG00000172260.9, ENSG00000181754.6, ENSG00000198162.8, ENSG00000215861.4, ENSG00000162734.8, ENSG00000115616.2, ENSG00000163517.10, ENSG00000152642.6, ENSG00000151458.7, ENSG00000164252.8, ENSG00000145681.6, ENSG00000112796.5, ENSG00000203778.3, ENSG00000146433.8, ENSG00000164659.10, ENSG00000207361.1, ENSG00000070214.11, ENSG00000070159.9, ENSG00000148153.9, ENSG00000086205.12, ENSG00000260987.1, ENSG00000176871.4, ENSG00000197045.8, ENSG00000052344.11, ENSG00000108947.4, ENSG00000167549.14, ENSG00000126561.12, ENSG00000035862.8, ENSG00000132872.7, ENSG00000266946.1, ENSG00000088832.10, ENSG00000101350.6, ENSG00000099940.7, ENSG00000100030.10, ENSG00000100302.6, ENSG00000188706.8, ENSG00000147402.7	ENSG00000139116.13	10.8688080367559	0.0892348641665389	11.0354041903922	0.0611006253568372
